fish_size_category,protein_level_percent,feed_type,feeding_rate_percent,feeding_frequency_per_day,water_temperature_c,feeding_method,pellet_size_mm,pellet_hardness,natural_feeding_habit,stock_density_fish_per_m3,dissolved_oxygen_mgL,growth_efficiency
Juvenile_0.5_10g,39.8,Crumbles,6.6,4,28.7,Hand_Feeding,1.1,Soft,Plankton_Feeder,48.8,7.2,Good
Juvenile_0.5_10g,36.5,Crumbles,7.9,4,30.5,Hand_Feeding,0.9,Soft,Plankton_Feeder,11.9,7.9,Poor
Juvenile_10_35g,31.9,Juvenile_Pellet,13.6,3,26.7,Feeding_Bag,2,Soft,Omnivorous,48.6,7,Poor
Adult_35g_plus,27.2,Adult_Pellet,2.1,3,32.8,Hand_Feeding,3.2,Soft,Omnivorous,17.3,6.8,Good
Juvenile_10_35g,30.2,Juvenile_Pellet,9,4,28.4,Hand_Feeding,1.9,Soft,Omnivorous,17.8,3.2,Good
Juvenile_0.5_10g,39.1,Mash_Powder,7.8,2,28.8,Hand_Feeding,0.1,Hard,Plankton_Feeder,42.1,3.4,Poor
Juvenile_0.5_10g,35,Crumbles,12.3,4,25.9,Feeding_Bag,1.2,Soft,Plankton_Feeder,28,3.5,Good
Adult_35g_plus,28,Adult_Pellet,3.1,4,27.2,Feeding_Bag,3.3,Medium,Omnivorous,40.4,5.8,Good
Juvenile_10_35g,32.1,Crumbles,5.3,3,24.5,Hand_Feeding,0.6,Soft,Omnivorous,34.2,5.7,Good
Juvenile_10_35g,33.5,Juvenile_Pellet,8,2,30.6,Feeding_Bag,2.1,Medium,Omnivorous,42.1,3.9,Poor
Adult_35g_plus,29.5,Adult_Pellet,2.7,2,31.2,Hand_Feeding,2.7,Soft,Omnivorous,16.6,5.7,Good
Juvenile_0.5_10g,36.2,Mash_Powder,7.2,2,27.3,Hand_Feeding,0.1,Soft,Plankton_Feeder,12.6,4.3,Good
Adult_35g_plus,25.7,Adult_Pellet,4.9,2,26.9,Hand_Feeding,2.9,Soft,Omnivorous,37.2,5.7,Good
Juvenile_10_35g,30.4,Crumbles,13,2,27.8,Hand_Feeding,0.7,Soft,Omnivorous,35.3,5.7,Good
Juvenile_0.5_10g,35.9,Mash_Powder,10.9,4,24.1,Hand_Feeding,0.1,Hard,Plankton_Feeder,37.6,4.9,Poor
Juvenile_0.5_10g,35.6,Crumbles,7.6,3,28.2,Feeding_Bag,1.4,Hard,Plankton_Feeder,30.7,4.3,Poor
Juvenile_10_35g,34.4,Crumbles,12,3,28.3,Feeding_Bag,0.8,Soft,Omnivorous,35.7,3.4,Good
Juvenile_10_35g,30,Crumbles,5.1,3,28.3,Hand_Feeding,1.2,Soft,Omnivorous,37.7,6.3,Good
Juvenile_0.5_10g,36.6,Crumbles,13.5,4,30.1,Hand_Feeding,1.1,Hard,Plankton_Feeder,20.6,4.2,Poor
Adult_35g_plus,28.2,Adult_Pellet,3.7,2,32.7,Hand_Feeding,3.3,Soft,Omnivorous,38.9,4.4,Poor
Juvenile_0.5_10g,39.7,Crumbles,8.7,4,29.2,Feeding_Bag,1.4,Soft,Plankton_Feeder,13,4.5,Good
Juvenile_10_35g,31.9,Crumbles,14.3,3,27.8,Hand_Feeding,1.3,Soft,Omnivorous,34.6,8,Good
Adult_35g_plus,28.7,Adult_Pellet,3.1,4,30.3,Hand_Feeding,3.6,Soft,Omnivorous,34.5,3.4,Poor
Juvenile_0.5_10g,35.4,Mash_Powder,5.5,4,26.5,Hand_Feeding,0.1,Soft,Plankton_Feeder,25,3.5,Poor
Juvenile_10_35g,32.7,Crumbles,5.3,2,25.8,Feeding_Bag,1.1,Soft,Omnivorous,20.9,7.8,Good
Juvenile_0.5_10g,37.1,Crumbles,6.3,3,27.2,Hand_Feeding,0.6,Soft,Plankton_Feeder,22.9,7,Good
Fry_Larvae,50,Mash_Powder,29.4,8,29.3,Hand_Feeding,0.1,Soft,Plankton_Feeder,46.6,5.2,Poor
Juvenile_0.5_10g,39.7,Crumbles,11.6,2,30.2,Hand_Feeding,1,Soft,Plankton_Feeder,26.8,4.2,Poor
Fry_Larvae,50,Mash_Powder,15.7,5,27.4,Feeding_Bag,0.1,Soft,Plankton_Feeder,42.3,4.7,Poor
Fry_Larvae,50,Mash_Powder,28.3,7,32.7,Hand_Feeding,0.1,Medium,Plankton_Feeder,35,5.5,Good
Juvenile_0.5_10g,35.4,Crumbles,10.9,3,28.3,Hand_Feeding,0.5,Medium,Plankton_Feeder,15.1,7.1,Good
Adult_35g_plus,28.3,Adult_Pellet,2.6,3,29.7,Hand_Feeding,2.9,Soft,Omnivorous,13.8,6.4,Good
Adult_35g_plus,25.1,Adult_Pellet,2.4,2,30.4,Hand_Feeding,2.9,Soft,Omnivorous,26.7,7.8,Good
Juvenile_10_35g,32.9,Crumbles,7.5,4,31.6,Feeding_Bag,0.6,Medium,Omnivorous,44.3,5.1,Poor
Fry_Larvae,50,Mash_Powder,22.6,6,26.7,Hand_Feeding,0.1,Medium,Plankton_Feeder,12.1,7.8,Good
Broodstock,30,Adult_Pellet,3.5,2,30.4,Hand_Feeding,3.2,Soft,Omnivorous,34.1,5.8,Good
